season,week,celebrity_name,fan_votes,uncertainty,judge_total,voting_method,eliminated,estimation_method
1,2,John O'Hurley,6000.0,0.2706422018348623,26.0,rank,False,kalman_filter_rank
1,2,Kelly Monaco,4000.0,0.2706422018348623,17.0,rank,False,kalman_filter_rank
1,2,Evander Holyfield,5000.0,0.2706422018348623,14.0,rank,False,kalman_filter_rank
1,2,Rachel Hunter,5000.0,0.2706422018348623,24.0,rank,False,kalman_filter_rank
1,2,Joey McIntyre,5000.0,0.2706422018348623,21.0,rank,False,kalman_filter_rank
1,2,Trista Sutter,3000.0,0.2706422018348623,19.0,rank,True,kalman_filter_rank
1,3,John O'Hurley,5000.0,0.2706422018348623,24.0,rank,False,kalman_filter_rank
1,3,Kelly Monaco,3000.0,0.2706422018348623,21.0,rank,False,kalman_filter_rank
1,3,Evander Holyfield,3000.0,0.2706422018348623,13.0,rank,True,kalman_filter_rank
1,3,Rachel Hunter,5000.0,0.2706422018348623,26.0,rank,False,kalman_filter_rank
1,3,Joey McIntyre,4000.0,0.2706422018348623,22.0,rank,False,kalman_filter_rank
1,4,John O'Hurley,3000.0,0.2706422018348623,21.0,rank,False,kalman_filter_rank
1,4,Kelly Monaco,4000.0,0.2706422018348623,26.0,rank,False,kalman_filter_rank
1,4,Rachel Hunter,2000.0,0.2706422018348623,25.0,rank,True,kalman_filter_rank
1,4,Joey McIntyre,4000.0,0.2706422018348623,20.0,rank,False,kalman_filter_rank
1,5,John O'Hurley,3000.0,0.2706422018348623,27.0,rank,False,kalman_filter_rank
1,5,Kelly Monaco,3000.0,0.2706422018348623,23.5,rank,False,kalman_filter_rank
1,5,Joey McIntyre,2000.0,0.2706422018348623,22.5,rank,True,kalman_filter_rank
1,6,John O'Hurley,2000.0,0.2706422018348623,27.0,rank,True,kalman_filter_rank
1,6,Kelly Monaco,2000.0,0.2706422018348623,27.5,rank,False,kalman_filter_rank
2,1,Tatum O'Neal,9000.0,0.2706422018348623,23.0,rank,False,kalman_filter_rank
2,1,Tia Carrere,6000.0,0.2706422018348623,20.0,rank,False,kalman_filter_rank
2,1,George Hamilton,5000.0,0.2706422018348623,18.0,rank,False,kalman_filter_rank
2,1,Lisa Rinna,6000.0,0.2706422018348623,19.0,rank,False,kalman_filter_rank
2,1,Stacy Keibler,7000.0,0.2706422018348623,22.0,rank,False,kalman_filter_rank
2,1,Jerry Rice,7000.0,0.2706422018348623,21.0,rank,False,kalman_filter_rank
2,1,Giselle Fernandez,9000.0,0.2706422018348623,23.0,rank,False,kalman_filter_rank
2,1,Master P,5000.0,0.2706422018348623,12.0,rank,False,kalman_filter_rank
2,1,Drew Lachey,10000.0,0.2706422018348623,24.0,rank,False,kalman_filter_rank
2,1,Kenny Mayne,4000.0,0.2706422018348623,13.0,rank,True,kalman_filter_rank
2,2,Tatum O'Neal,4000.0,0.2706422018348623,17.0,rank,True,kalman_filter_rank
2,2,Tia Carrere,6000.0,0.2706422018348623,22.0,rank,False,kalman_filter_rank
2,2,George Hamilton,6000.0,0.2706422018348623,22.0,rank,False,kalman_filter_rank
2,2,Lisa Rinna,5000.0,0.2706422018348623,20.0,rank,False,kalman_filter_rank
2,2,Stacy Keibler,9000.0,0.2706422018348623,29.0,rank,False,kalman_filter_rank
2,2,Jerry Rice,7000.0,0.2706422018348623,23.0,rank,False,kalman_filter_rank
2,2,Giselle Fernandez,7000.0,0.2706422018348623,24.0,rank,False,kalman_filter_rank
2,2,Master P,5000.0,0.2706422018348623,16.0,rank,False,kalman_filter_rank
2,2,Drew Lachey,8000.0,0.2706422018348623,27.0,rank,False,kalman_filter_rank
2,3,Tia Carrere,7000.0,0.2706422018348623,26.0,rank,False,kalman_filter_rank
2,3,George Hamilton,5000.0,0.2706422018348623,22.0,rank,False,kalman_filter_rank
2,3,Lisa Rinna,6000.0,0.2706422018348623,25.0,rank,False,kalman_filter_rank
2,3,Stacy Keibler,8000.0,0.2706422018348623,27.0,rank,False,kalman_filter_rank
2,3,Jerry Rice,5000.0,0.2706422018348623,19.0,rank,False,kalman_filter_rank
2,3,Giselle Fernandez,3000.0,0.2706422018348623,22.0,rank,True,kalman_filter_rank
2,3,Master P,6000.0,0.2706422018348623,14.0,rank,False,kalman_filter_rank
2,3,Drew Lachey,8000.0,0.2706422018348623,27.0,rank,False,kalman_filter_rank
2,4,Tia Carrere,5000.0,0.2706422018348623,25.0,rank,False,kalman_filter_rank
2,4,George Hamilton,4000.0,0.2706422018348623,21.0,rank,False,kalman_filter_rank
2,4,Lisa Rinna,6000.0,0.2706422018348623,26.0,rank,False,kalman_filter_rank
2,4,Stacy Keibler,6000.0,0.2706422018348623,26.0,rank,False,kalman_filter_rank
2,4,Jerry Rice,4000.0,0.2706422018348623,24.0,rank,False,kalman_filter_rank
2,4,Master P,3000.0,0.2706422018348623,8.0,rank,True,kalman_filter_rank
2,4,Drew Lachey,7000.0,0.2706422018348623,28.0,rank,False,kalman_filter_rank
2,5,Tia Carrere,3000.0,0.2706422018348623,22.0,rank,True,kalman_filter_rank
2,5,George Hamilton,4000.0,0.2706422018348623,24.0,rank,False,kalman_filter_rank
2,5,Lisa Rinna,5000.0,0.2706422018348623,25.0,rank,False,kalman_filter_rank
2,5,Stacy Keibler,6000.0,0.2706422018348623,30.0,rank,False,kalman_filter_rank
2,5,Jerry Rice,4000.0,0.2706422018348623,23.0,rank,False,kalman_filter_rank
2,5,Drew Lachey,5000.0,0.2706422018348623,27.0,rank,False,kalman_filter_rank
2,6,George Hamilton,3000.0,0.2706422018348623,23.0,rank,True,kalman_filter_rank
2,6,Lisa Rinna,4000.0,0.2706422018348623,27.0,rank,False,kalman_filter_rank
2,6,Stacy Keibler,5000.0,0.2706422018348623,30.0,rank,False,kalman_filter_rank
2,6,Jerry Rice,3000.0,0.2706422018348623,23.0,rank,False,kalman_filter_rank
2,6,Drew Lachey,5000.0,0.2706422018348623,30.0,rank,False,kalman_filter_rank
2,7,Lisa Rinna,2000.0,0.2706422018348623,26.5,rank,True,kalman_filter_rank
2,7,Stacy Keibler,4000.0,0.2706422018348623,27.5,rank,False,kalman_filter_rank
2,7,Jerry Rice,3000.0,0.2706422018348623,20.5,rank,False,kalman_filter_rank
2,7,Drew Lachey,4000.0,0.2706422018348623,27.5,rank,False,kalman_filter_rank
2,8,Stacy Keibler,3000.0,0.2706422018348623,28.6665,rank,True,kalman_filter_rank
2,8,Jerry Rice,3000.0,0.2706422018348623,26.666600000000003,rank,False,kalman_filter_rank
2,8,Drew Lachey,3000.0,0.2706422018348623,28.9998,rank,False,kalman_filter_rank
3,1,Harry Hamlin,806760.7065199227,0.2706422018348623,17.0,percent,False,kalman_filter_percent
3,1,Vivica A. Fox,873497.888473045,0.2706422018348623,22.0,percent,False,kalman_filter_percent
3,1,Monique Coleman,833455.5713538858,0.2706422018348623,19.0,percent,False,kalman_filter_percent
3,1,Joey Lawrence,860150.4560560633,0.2706422018348623,21.0,percent,False,kalman_filter_percent
3,1,Mario Lopez,1322860.837003233,0.2706422018348623,55.6666,percent,False,kalman_filter_percent
3,1,Emmitt Smith,1296165.9523010552,0.2706422018348623,53.6666,percent,False,kalman_filter_percent
3,1,Shanna Moakler,820108.1389369041,0.2706422018348623,18.0,percent,False,kalman_filter_percent
3,1,Willa Ford,873497.888473045,0.2706422018348623,22.0,percent,False,kalman_filter_percent
3,1,Sara Evans,780065.8019495306,0.2706422018348623,15.0,percent,False,kalman_filter_percent
3,1,Jerry Springer,793413.2542347265,0.2706422018348623,16.0,percent,False,kalman_filter_percent
3,1,Tucker Carlson,740023.5046985862,0.2706422018348623,12.0,percent,True,kalman_filter_percent
3,2,Harry Hamlin,967236.4677462263,0.2706422018348623,21.0,percent,False,kalman_filter_percent
3,2,Vivica A. Fox,1016381.765370557,0.2706422018348623,24.0,percent,False,kalman_filter_percent
3,2,Monique Coleman,1049145.2971201106,0.2706422018348623,26.0,percent,False,kalman_filter_percent
3,2,Joey Lawrence,1098290.5997114952,0.2706422018348623,29.0,percent,False,kalman_filter_percent
3,2,Mario Lopez,967236.4677462263,0.2706422018348623,21.0,percent,False,kalman_filter_percent
3,2,Emmitt Smith,1016381.765370557,0.2706422018348623,24.0,percent,False,kalman_filter_percent
3,2,Shanna Moakler,983618.2336961487,0.2706422018348623,22.0,percent,True,kalman_filter_percent
3,2,Willa Ford,999999.9994957803,0.2706422018348623,23.0,percent,False,kalman_filter_percent
3,2,Sara Evans,967236.4677462263,0.2706422018348623,21.0,percent,False,kalman_filter_percent
3,2,Jerry Springer,934472.9359966727,0.2706422018348623,19.0,percent,False,kalman_filter_percent
3,3,Harry Hamlin,1092088.6750687321,0.2706422018348623,22.0,percent,True,kalman_filter_percent
3,3,Vivica A. Fox,1187200.8547393894,0.2706422018348623,27.0,percent,False,kalman_filter_percent
3,3,Monique Coleman,1187200.8547393894,0.2706422018348623,27.0,percent,False,kalman_filter_percent
3,3,Joey Lawrence,1092088.6758667757,0.2706422018348623,22.0,percent,False,kalman_filter_percent
3,3,Mario Lopez,1092088.6758667757,0.2706422018348623,22.0,percent,False,kalman_filter_percent
3,3,Emmitt Smith,1035021.3665563862,0.2706422018348623,19.0,percent,False,kalman_filter_percent
3,3,Willa Ford,1092088.6758667757,0.2706422018348623,22.0,percent,False,kalman_filter_percent
3,3,Sara Evans,1149155.9851771654,0.2706422018348623,25.0,percent,False,kalman_filter_percent
3,3,Jerry Springer,1073066.2361186105,0.2706422018348623,21.0,percent,False,kalman_filter_percent
3,4,Vivica A. Fox,1234328.2075204733,0.2706422018348623,24.0,percent,True,kalman_filter_percent
3,4,Monique Coleman,1234328.2092791633,0.2706422018348623,24.0,percent,False,kalman_filter_percent
3,4,Joey Lawrence,1297015.3780089081,0.2706422018348623,27.0,percent,False,kalman_filter_percent
3,4,Mario Lopez,1338806.8304514766,0.2706422018348623,29.0,percent,False,kalman_filter_percent
3,4,Emmitt Smith,1234328.2092791633,0.2706422018348623,24.0,percent,False,kalman_filter_percent
3,4,Willa Ford,1317911.1042301923,0.2706422018348623,28.0,percent,False,kalman_filter_percent
3,4,Sara Evans,1150745.3043940277,0.2706422018348623,20.0,percent,False,kalman_filter_percent
3,4,Jerry Springer,1192536.7568365955,0.2706422018348623,22.0,percent,False,kalman_filter_percent
3,5,Monique Coleman,1456199.3615418293,0.2706422018348623,27.0,percent,False,kalman_filter_percent
3,5,Joey Lawrence,1407850.4800279592,0.2706422018348623,25.0,percent,False,kalman_filter_percent
3,5,Mario Lopez,1456199.3615418293,0.2706422018348623,27.0,percent,False,kalman_filter_percent
3,5,Emmitt Smith,1456199.3615418293,0.2706422018348623,27.0,percent,False,kalman_filter_percent
3,5,Willa Ford,1456199.3617715582,0.2706422018348623,27.0,percent,True,kalman_filter_percent
3,5,Sara Evans,1383676.036787498,0.2706422018348623,24.0,percent,False,kalman_filter_percent
3,5,Jerry Springer,1383676.036787498,0.2706422018348623,24.0,percent,False,kalman_filter_percent
3,7,Monique Coleman,2000000.0001241763,0.2706422018348623,27.0,percent,False,kalman_filter_percent
3,7,Joey Lawrence,2055808.3679984561,0.2706422018348623,28.5,percent,False,kalman_filter_percent
3,7,Mario Lopez,2037205.5788105098,0.2706422018348623,28.0,percent,False,kalman_filter_percent
3,7,Emmitt Smith,2055808.3679984561,0.2706422018348623,28.5,percent,False,kalman_filter_percent
3,7,Jerry Springer,1851177.685068402,0.2706422018348623,23.0,percent,True,kalman_filter_percent
3,8,Monique Coleman,2462307.0905204513,0.2706422018348623,26.5,percent,True,kalman_filter_percent
3,8,Joey Lawrence,2487435.6968530854,0.2706422018348623,27.0,percent,False,kalman_filter_percent
3,8,Mario Lopez,2562821.5157733774,0.2706422018348623,28.5,percent,False,kalman_filter_percent
3,8,Emmitt Smith,2487435.6968530854,0.2706422018348623,27.0,percent,False,kalman_filter_percent
3,9,Joey Lawrence,3333333.3333333326,0.2706422018348623,29.5,percent,True,kalman_filter_percent
3,9,Mario Lopez,3333333.3333333326,0.2706422018348623,29.5,percent,False,kalman_filter_percent
3,9,Emmitt Smith,3333333.3333333326,0.2706422018348623,29.5,percent,False,kalman_filter_percent
3,10,Mario Lopez,5000000.0,0.2706422018348623,29.666600000000003,percent,True,kalman_filter_percent
3,10,Emmitt Smith,5000000.0,0.2706422018348623,29.666600000000003,percent,False,kalman_filter_percent
4,2,John Ratzenberger,890277.3835282588,0.2706422018348623,21.0,percent,False,kalman_filter_percent
4,2,Ian Ziering,905059.4410884377,0.2706422018348623,22.0,percent,False,kalman_filter_percent
4,2,Clyde Drexler,845931.2158147752,0.2706422018348623,18.0,percent,False,kalman_filter_percent
4,2,Laila Ali,978969.7189552252,0.2706422018348623,27.0,percent,False,kalman_filter_percent
4,2,Apolo Anton Ohno,964187.661395046,0.2706422018348623,26.0,percent,False,kalman_filter_percent
4,2,Shandi Finnessey,875495.3259680795,0.2706422018348623,20.0,percent,False,kalman_filter_percent
4,2,Paulina Porizkova,890277.3837101761,0.2706422018348623,21.0,percent,True,kalman_filter_percent
4,2,Heather Mills,934623.5512417421,0.2706422018348623,24.0,percent,False,kalman_filter_percent
4,2,Billy Ray Cyrus,890277.3835282588,0.2706422018348623,21.0,percent,False,kalman_filter_percent
4,2,Joey Fatone,934623.5512417421,0.2706422018348623,24.0,percent,False,kalman_filter_percent
4,2,Leeza Gibbons,890277.3835282588,0.2706422018348623,21.0,percent,False,kalman_filter_percent
4,3,John Ratzenberger,968889.672465945,0.2706422018348623,20.0,percent,False,kalman_filter_percent
4,3,Ian Ziering,1038023.7360069895,0.2706422018348623,24.0,percent,False,kalman_filter_percent
4,3,Clyde Drexler,899755.6089249004,0.2706422018348623,16.0,percent,False,kalman_filter_percent
4,3,Laila Ali,986173.188351206,0.2706422018348623,21.0,percent,False,kalman_filter_percent
4,3,Apolo Anton Ohno,1020740.210187621,0.2706422018348623,23.0,percent,False,kalman_filter_percent
4,3,Shandi Finnessey,986173.1876911622,0.2706422018348623,21.0,percent,True,kalman_filter_percent
4,3,Heather Mills,1038023.7360069895,0.2706422018348623,24.0,percent,False,kalman_filter_percent
