season,week,celebrity_name,judge_total,fan_votes,adjusted_judge_score,adjusted_fan_votes,judge_weight,fan_weight,combined_rank,combined_percent,voting_method,is_eliminated_new_system,age,pro_dancer,industry,region
1,2,John O'Hurley,26.0,5999.929083689056,25.848604875393445,5965.762995318283,0.5245642246324754,0.47543577536752457,1.0,24.288918543253118,rank,False,50.0,Charlotte Jorgensen,Actor/Actress,United States
1,2,Kelly Monaco,17.0,2266.667021495543,17.03414112308271,2271.0631688412864,0.5245642246324754,0.47543577536752457,5.0,12.365948213152752,rank,False,29.0,Alec Mazo,Actor/Actress,United States
1,2,Evander Holyfield,14.0,3266.5586995431586,14.004920225650764,3267.883077219894,0.5245642246324754,0.47543577536752457,5.04912844926495,13.237924921997088,rank,True,42.0,Edyta Sliwinska,Athlete,United States
1,2,Rachel Hunter,24.0,4998.573985295975,24.0286724074545,5004.485552878098,0.5245642246324754,0.47543577536752457,2.0,21.392109968850406,rank,False,35.0,Jonathan Roberts,Model,New Zealand
1,2,Joey McIntyre,21.0,4000.102210754145,21.042724377169932,4008.07870087573,0.5245642246324754,0.47543577536752457,3.0,17.912654919740913,rank,False,32.0,Ashly DelGrosso,Singer/Rapper,United States
1,2,Trista Sutter,19.0,1166.5586995431152,19.010182837674588,1167.136818857302,0.5245642246324754,0.47543577536752457,4.95087155073505,10.802443433005719,rank,False,32.0,Louis van Amstel,TV Personality,United States
1,3,John O'Hurley,24.0,4000.000008126353,23.860250654209334,3977.2223466149426,0.5261683950399321,0.47383160496006793,2.0,24.41488389677208,rank,False,50.0,Charlotte Jorgensen,Actor/Actress,United States
1,3,Kelly Monaco,21.0,2000.0000071047705,21.042174328513934,2003.878960051692,0.5261683950399321,0.47383160496006793,4.0,16.779512656095072,rank,False,29.0,Alec Mazo,Actor/Actress,United States
1,3,Evander Holyfield,13.0,1000.0,13.004568780961424,1000.4054351378778,0.5261683950399321,0.47383160496006793,5.0,9.617871947712478,rank,True,42.0,Edyta Sliwinska,Athlete,United States
1,3,Rachel Hunter,26.0,5000.0,26.031061774742373,5005.913254059571,0.5261683950399321,0.47383160496006793,1.0,28.743555668144616,rank,False,35.0,Jonathan Roberts,Model,New Zealand
