season,week,n_contestants,actual_eliminated,rank_method_eliminated,rank_method_correct,percent_method_eliminated,percent_method_correct,methods_agree
1,2,6,Trista Sutter,Kelly Monaco,False,Trista Sutter,True,False
1,3,5,Evander Holyfield,Evander Holyfield,True,Evander Holyfield,True,True
1,4,4,Rachel Hunter,John O'Hurley,False,Rachel Hunter,True,False
1,5,3,Joey McIntyre,Joey McIntyre,True,Joey McIntyre,True,True
1,6,2,John O'Hurley,John O'Hurley,True,John O'Hurley,True,True
2,1,10,Kenny Mayne,Master P,False,Kenny Mayne,True,False
2,2,9,Tatum O'Neal,Tatum O'Neal,True,Lisa Rinna,False,False
2,3,8,Giselle Fernandez,Jerry Rice,False,Giselle Fernandez,True,False
2,4,7,Master P,Master P,True,Master P,True,True
2,5,6,Tia Carrere,Tia Carrere,True,Tia Carrere,True,True
2,6,5,George Hamilton,George Hamilton,True,George Hamilton,True,True
2,7,4,Lisa Rinna,Lisa Rinna,True,Lisa Rinna,True,True
2,8,3,Stacy Keibler,Stacy Keibler,True,Stacy Keibler,True,True
3,1,11,Tucker Carlson,Tucker Carlson,True,Tucker Carlson,True,True
3,2,10,Shanna Moakler,Jerry Springer,False,Shanna Moakler,True,False
3,3,9,Harry Hamlin,Jerry Springer,False,Harry Hamlin,True,False
3,4,8,Vivica A. Fox,Sara Evans,False,Vivica A. Fox,True,False
3,5,7,Willa Ford,Sara Evans,False,Willa Ford,True,False
3,7,5,Jerry Springer,Jerry Springer,True,Jerry Springer,True,True
3,8,4,Monique Coleman,Monique Coleman,True,Monique Coleman,True,True
3,9,3,Joey Lawrence,Joey Lawrence,True,Joey Lawrence,True,True
3,10,2,Mario Lopez,Mario Lopez,True,Mario Lopez,True,True
4,2,11,Paulina Porizkova,Clyde Drexler,False,Paulina Porizkova,True,False
4,3,10,Shandi Finnessey,Clyde Drexler,False,Shandi Finnessey,True,False
4,4,9,Leeza Gibbons,Clyde Drexler,False,Leeza Gibbons,True,False
4,5,8,Clyde Drexler,Clyde Drexler,True,Clyde Drexler,True,True
4,6,7,Heather Mills,John Ratzenberger,False,Heather Mills,True,False
